id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
670830,"Walk to bay/dwntwn/parkZoo, parking free/Lavender",2315442,Michael,,Park West,32.72632,-117.16597,Private room,65,1,556,2021-11-28,4.92,10,43,54,
674234,"1/2 br condo in San Diego, Mission Valley",103427,Jacqueline M,,West University Heights,32.76103,-117.16063,Entire home/apt,307,2,0,,,5,89,0,
691132,"Family Beach Home, 2 Blocks To Sand",129123,Michael,,Pacific Beach,32.80756,-117.25728,Entire home/apt,465,4,7,2019-07-31,0.07,5,274,0,
691897,"BOAT, BED & BREAKFAST - ""DAUNTLESS"" - 43' Hampton",2990799,Shaun,,Midtown District,32.71937,-117.22115,Entire home/apt,294,2,35,2021-10-10,0.38,7,82,12,
693579,1 Bed Apt- Ideal for Travel Nurse / Grad / Coder,3547828,Blair,,Balboa Park,32.7159,-117.14481,Entire home/apt,64,30,1,2019-12-29,0.04,23,247,0,
708473,Private Guest suite w/ Ocean View,3643725,Karima,,Ocean Beach,32.73861,-117.24805,Entire home/apt,104,1,13,2020-03-08,0.12,1,13,0,
723387,Perfect PB Spring/Summer Getaway!,3736562,Renee,,Pacific Beach,32.79429,-117.24269,Entire home/apt,184,1,106,2021-11-26,0.95,5,315,14,
741131,One Bedroom Ocean View San Diego Central EZ Park,1291828,Tomio,,Linda Vista,32.79647,-117.17435,Entire home/apt,89,30,57,2019-08-31,0.54,5,184,0,
743453,"Quiet, relaxing, big & private room",3894707,Pamela,,Clairemont Mesa,32.81007,-117.18615,Private room,55,4,296,2018-11-06,2.66,1,275,0,
747354,Quiet Canyon Retreat in heart of SD,3857763,Christine,,Old Town,32.75668,-117.17011,Entire home/apt,479,6,42,2021-08-05,0.38,2,0,3,
752725,Vintage 1928 Craftsman Cottage outdoor living & AC,1028287,Rick,,North Hills,32.74411,-117.13947,Entire home/apt,185,7,64,2021-11-13,0.69,2,64,14,
756856,Sunset Cliffs hill-top private room,3964809,Betsy & Stan,,Wooded Area,32.7256,-117.25183,Private room,104,2,108,2021-11-14,0.99,1,79,16,
756982,Perfect La Jolla Spanish Cottage,3985912,Andrew,,La Jolla,32.84279,-117.27129,Entire home/apt,187,1,304,2021-11-26,2.89,1,4,13,
768093,"family friendly, close to the beach",302986,Isabel,,Pacific Beach,32.80769,-117.24242,Entire home/apt,249,4,36,2021-08-08,0.35,2,103,2,
778962,"1 of a Kind!  North Park, Hillcrest",1502676,Aaron,,North Hills,32.7505,-117.14171,Entire home/apt,154,1,284,2021-09-19,2.60,5,2,20,
789549,"Modern, Bright and Beautiful Across From Ballpark",4160438,Evan,,East Village,32.70918,-117.15443,Entire home/apt,169,26,18,2021-06-02,0.17,2,128,1,
797668,Mission Beach Family Paradise. Beach & Bay fun,4200720,Mark,,Mission Bay,32.75994,-117.2489,Entire home/apt,199,2,298,2021-12-05,2.78,1,210,52,
803261,"LoveIt~ Sanctuary La Jolla Shores So so,nearby!",4227796,Luci,,University City,32.86913,-117.2192,Private room,71,5,18,2021-01-14,0.23,1,57,1,
810931,Clean/Private BDRM/ Ideal for Grads/Intern/Coder,3547828,Blair,,East Village,32.71724,-117.15306,Private room,37,1,2,2019-06-30,0.06,23,267,0,
815244,MasterBedroom in cottage near beach,795905,Franz,,Pacific Beach,32.79545,-117.23483,Private room,91,2,47,2019-01-02,0.43,3,12,0,
816942,"Great Location, Affordable & Fun!",3969352,Aaron & Jenny,,Grantville,32.78608,-117.10822,Entire home/apt,125,31,109,2021-08-15,1.00,1,164,7,
821576,"Surf, sand, comfort & great price!",129123,Michael,,Pacific Beach,32.80691,-117.25604,Entire home/apt,204,3,39,2021-09-04,0.36,5,208,9,
821991,Early 1900's Carriage House w/Views,4316337,Brook & Justin,,North Hills,32.74474,-117.13012,Entire home/apt,98,2,390,2021-12-11,3.78,1,283,5,
868988,Stay on the Beach in San Diego,3066335,Will,,Mission Bay,32.76817,-117.24933,Entire home/apt,321,3,36,2021-08-29,0.54,1,0,10,
873742,Welcoming Bungalow close to it all!,4371822,Heather & Mike,,South Park,32.72521,-117.1274,Entire home/apt,141,5,502,2021-11-24,4.65,1,246,23,
885550,Centrally Located In Mission Valley,2806365,Catherine,,Grantville,32.78346,-117.10798,Entire home/apt,120,30,27,2021-10-10,0.26,2,268,8,
886970,Private Backyard Resort Oasis,14635886,Peter & Diana,,Rancho Penasquitos,32.96419,-117.12139,Entire home/apt,894,3,9,2021-08-01,0.30,2,0,4,
887573,Cozy Room in Pacifc Beach,4706066,Dragos,,Mission Bay,32.79113,-117.23302,Private room,51,3,71,2019-10-25,0.65,1,234,0,
888310,Luxury Condo  Close to Downtown San Di,3142348,Don,,Park West,32.72904,-117.16486,Entire home/apt,89,30,15,2021-12-03,0.35,3,139,4,
906070,Luxury Condo Del Mar(Carmel Valley),4849153,Raj,,Carmel Valley,32.94909,-117.23244,Entire home/apt,78,10,22,2021-06-21,0.20,1,162,3,
908300,Calming Retreat By #1 Beach,3102978,John,,Grant Hill,32.70683,-117.14059,Entire home/apt,90,2,233,2021-12-06,2.16,4,99,58,
908965,Mission Bay Hideaway,57109,William,,Mission Bay,32.78673,-117.25305,Entire home/apt,190,5,29,2021-11-09,0.28,2,217,6,
914317,Amazing Cottage at the Beach!,4374657,Joanie,,Ocean Beach,32.75117,-117.25125,Entire home/apt,156,2,594,2021-12-08,5.52,3,95,59,
918743,PRIVATE BATHROOM! COZY & QUIET  :),4934787,Kr,,College Area,32.76313,-117.0798,Private room,55,20,107,2021-12-15,1.00,1,264,2,
925146,Windansea 2bd; check calendar for special $,2409798,Terry,,La Jolla,32.82857,-117.27858,Entire home/apt,227,1,261,2021-12-02,2.58,7,36,47,
925170,$100-150 night--Windansea #3,2409798,Terry,,La Jolla,32.82714,-117.27705,Entire home/apt,126,1,396,2021-12-05,3.84,7,131,79,
937720,"Charming, lovely home in San Diego",5062900,Susanna,,Balboa Park,32.72853,-117.13283,Entire home/apt,151,2,19,2021-08-03,0.19,2,108,2,
942915,Wow! Oceanfront 2 BR! -  810,8184593,Marc,,Pacific Beach,32.79906,-117.25752,Entire home/apt,429,3,25,2021-10-23,0.55,25,240,7,
960642,Dual Level High Rise Penthouse-Near Padres Stadium,1457673,Kit,,East Village,32.70962,-117.15445,Entire home/apt,135,31,4,2019-02-25,0.05,13,14,0,
961307,Canyon view room,332552,Peter,,College Area,32.76346,-117.07585,Private room,150,4,0,,,6,0,0,
962857,CELEBRATE HOLIDAYS ON FIFTH AVE GASLAMP SAN DIEGO!,562621,Pipi,,Gaslamp Quarter,32.70775,-117.16069,Entire home/apt,189,30,21,2020-09-18,0.20,1,352,0,
964412,Perfect Oceanfront 1 Bedroom! -1006,8184593,Marc,,Pacific Beach,32.79923,-117.25734,Entire home/apt,325,3,9,2021-09-02,0.08,25,319,3,
977879,Pacific Beach Oceanfront 1 BR! - 1107,8184593,Marc,,Pacific Beach,32.80074,-117.25908,Entire home/apt,235,3,0,,,25,0,0,
977917,Pacific Beach Oceanfront 1 BR! - 207,8184593,Marc,,Pacific Beach,32.8009,-117.25708,Entire home/apt,304,3,17,2021-10-17,0.17,25,319,5,
977935,Incredible Oceanfront 1 BR! -  209,8184593,Marc,,Pacific Beach,32.79963,-117.25728,Entire home/apt,289,3,4,2020-09-24,0.04,25,202,0,
977954,Amazing Oceanfront 1 BR! -  406,8184593,Marc,,Pacific Beach,32.80122,-117.25934,Entire home/apt,325,3,12,2021-09-20,0.31,25,316,5,
977963,Fantastic Oceanfront 1 BR! -  509,8184593,Marc,,Pacific Beach,32.80108,-117.2589,Entire home/apt,325,3,5,2021-08-03,0.05,25,245,1,
977985,Amazing Oceanfront 1 BR! -  609,8184593,Marc,,Pacific Beach,32.79835,-117.25596,Entire home/apt,325,3,30,2021-09-20,0.59,25,340,13,
978168,Pacific Beach Oceanfront 1 BR! -  706,8184593,Marc,,Pacific Beach,32.79644,-117.25628,Entire home/apt,325,3,9,2021-11-14,0.18,25,354,6,
978187,Wow! PB Oceanfront 1 BR! -  709,8184593,Marc,,Pacific Beach,32.79619,-117.25586,Entire home/apt,289,3,21,2021-11-27,0.54,25,288,9,
978199,Fantastic Oceanfront 1 BR! -  809,8184593,Marc,,Pacific Beach,32.79824,-117.25601,Entire home/apt,289,3,15,2021-10-03,0.35,25,307,7,
978206,Pacific Beach Oceanfront 1 BR!,8184593,Marc,,Pacific Beach,32.79911,-117.25718,Entire home/apt,235,3,8,2019-07-16,0.08,25,323,0,
978275,Fantastic PB Oceanfront 2 BR! - 205,8184593,Marc,,Pacific Beach,32.79943,-117.25704,Entire home/apt,423,3,22,2021-10-17,0.44,25,265,9,
978319,Amazing PB Oceanfront 2 BR! - 508,8184593,Marc,,Pacific Beach,32.80078,-117.25895,Entire home/apt,403,3,6,2021-08-22,0.12,25,212,2,
978349,Pacific Beach Oceanfront 2 BR! - 603,8184593,Marc,,Pacific Beach,32.80114,-117.25841,Entire home/apt,397,3,7,2021-10-11,0.18,25,282,3,
978368,Fabulous Oceanfront 2 BR! - 610,8184593,Marc,,Pacific Beach,32.80111,-117.25744,Entire home/apt,397,3,15,2021-11-28,0.14,25,253,6,
980232,Fantastic Oceanfront 2 BR! - 708,8184593,Marc,,Pacific Beach,32.8009,-117.25871,Entire home/apt,436,3,6,2021-10-11,0.12,25,303,2,
980392,Luxurious Oceanfront Corner 2 BR 801,8184593,Marc,,Pacific Beach,32.80119,-117.25896,Entire home/apt,484,3,5,2021-07-29,0.05,25,28,1,
980406,Amazing Oceanfront Corner 2 BR - Incredible View!,8184593,Marc,,Pacific Beach,32.79901,-117.25725,Entire home/apt,484,3,12,2021-11-28,0.11,25,262,7,
980434,Beautiful Oceanfront 2 BR! - 910,8184593,Marc,,Pacific Beach,32.79924,-117.25705,Entire home/apt,390,3,4,2019-05-27,0.09,25,0,0,
